,Item_ID,matrix_verb,context,ground_truth,context_prime,sentence,sentence_type,question
20,T20B,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull bugün sevgilisi ile tartışmış. Evden çıkarken kafası dalgınmış. Benden evine gidip kapısını kontrol etmemi istedi.",shifted,shifted,NAMENull kapıyı açık bıraktım sanıyor.,finite,NAMENull kimin kapıyı açık bıraktığını sanıyor?
20,T20C,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull bana sürpriz yapmak için evime balkon kapısından girmeyi planlıyormuş. Halbuki yakın zamanda mahallemde hırsızlık olduğunu duyduktan sonra balkon kapısını kilitledim.",speaker,speaker,NAMENull kapıyı açık bıraktığımı sanıyor.,nominalized,NAMENull kimin kapıyı açık bıraktığını sanıyor?
20,T20D,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull bugün sevgilisi ile tartışmış. Evden çıkarken kafası dalgınmış. Benden evine gidip kapısını kontrol etmemi istedi.",speaker,shifted,NAMENull kapıyı açık bıraktığımı sanıyor.,nominalized,NAMENull kimin kapıyı açık bıraktığını sanıyor?
21,T21A,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull bugün benle buluşmak için evden dışarı çıktı. Evden çıkarken evdeki hiçbir şeyi kontrol etmeden çıkmış.",speaker,speaker,NAMENull ocağı açık bıraktım sanıyor.,finite,NAMENull kimin ocağı açık bıraktığını sanıyor?
21,T21B,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. Ben bugün NAME-com buluşmak için evden dışarı çıktım. Evden çıkarken evdeki hiçbir şeyi kontrol etmedim. NAME-dat bunu söyledim.",shifted,shifted,NAMENull ocağı açık bıraktım sanıyor.,finite,NAMENull kimin ocağı açık bıraktığını sanıyor?
21,T21C,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull bugün benle buluşmak için evden dışarı çıktı. Evden çıkarken evdeki hiçbir şeyi kontrol etmeden çıkmış.",speaker,speaker,NAMENull ocağı açık bıraktığımı sanıyor.,nominalized,NAMENull kimin ocağı açık bıraktığını sanıyor?
21,T21D,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. Ben bugün NAME-com buluşmak için evden dışarı çıktım. Evden çıkarken evdeki hiçbir şeyi kontrol etmedim. NAME-dat bunu söyledim.",speaker,shifted,NAMENull ocağı açık bıraktığımı sanıyor.,nominalized,NAMENull kimin ocağı açık bıraktığını sanıyor?
22,T22A,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAME-acc sürpriz doğum gününe götürmek için kütüphaneye gideceğiz diyerek evden çıkardım. NAME-gen sürprizden haberi yok.",speaker,speaker,NAMENull kütüphaneye gideceğim sanıyor.,finite,NAMENull kimin kütüphaneye gideceğini sanıyor?
22,T22B,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. Bir partiye giderken NAMENull ile karşılaştık. NAME-dat partiye gittiğimi söylemek istemedim.",shifted,shifted,NAMENull kütüphaneye gideceğim sanıyor.,finite,NAMENull kimin kütüphaneye gideceğini sanıyor?
22,T22C,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAME-acc sürpriz doğum gününe götürmek için kütüphaneye gideceğiz diyerek evden çıkardım. NAME-gen sürprizden haberi yok.",speaker,speaker,NAMENull kütüphaneye gideceğimi sanıyor.,nominalized,NAMENull kimin kütüphaneye gideceğini sanıyor?
22,T22D,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. Bir partiye giderken NAMENull ile karşılaştık. NAME-dat partiye gittiğimi söylemek istemedim.",speaker,shifted,NAMENull kütüphaneye gideceğimi sanıyor.,nominalized,NAMENull kimin kütüphaneye gideceğini sanıyor?
23,T23A,san,"Merhaba, ben SPEAKER. NAMENull diye bir arkadaşım var. NAMENull benim uçuşumun yarına ertelendiğini bilmiyor. Bugün beni hala evden çıkmamış görünce çok şaşırdı.",speaker,speaker,NAMENull uçağı kaçırdım sanıyor.,finite,NAMENull kimin uçağı kaçırdığını sanıyor?
23,T23B,san,"Merhaba, ben SPEAKER. NAMENull diye bir arkadaşım var. NAMENull havaalanına uçuş saatinde ulaşamadı ama neyseki uçuşu ertelendi. O bilmiyor.",shifted,shifted,NAMENull uçağı kaçırdım sanıyor.,finite,NAMENull kimin uçağı kaçırdığını sanıyor?
23,T23C,san,"Merhaba, ben SPEAKER. NAMENull diye bir arkadaşım var. NAMENull benim uçuşumun yarına ertelendiğini bilmiyor. Bugün beni hala evden çıkmamış görünce çok şaşırdı.",speaker,speaker,NAMENull uçağı kaçırdığımı sanıyor.,nominalized,NAMENull kimin uçağı kaçırdığını sanıyor?
23,T23D,san,"Merhaba, ben SPEAKER. NAMENull diye bir arkadaşım var. NAMENull havaalanına uçuş saatinde ulaşamadı ama neyseki uçuşu ertelendi. O bilmiyor.",speaker,shifted,NAMENull uçağı kaçırdığımı sanıyor.,nominalized,NAMENull kimin uçağı kaçırdığını sanıyor?
24,T24A,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. Doğum günü pastama 25 mum dikmiş.",speaker,speaker,NAMENull 25 yaşına girdim sanıyor.,finite,NAMENull kimin 25 yaşına girdiğini sanıyor?
24,T24B,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAME-acc annesi nüfusa iki sene geç yazdırmış. NAMENull bunu bilmiyor.",shifted,shifted,NAMENull 25 yaşına girdim sanıyor.,finite,NAMENull kimin 25 yaşına girdiğini sanıyor?
24,T24C,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. Doğum günü pastama 25 mum dikmiş.",speaker,speaker,NAMENull 25 yaşına girdiğimi sanıyor.,nominalized,NAMENull kimin 25 yaşına girdiğini sanıyor?
24,T24D,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAME-acc annesi nüfusa iki sene geç yazdırmış. NAMENull bunu bilmiyor.",speaker,shifted,NAMENull 25 yaşına girdiğimi sanıyor.,nominalized,NAMENull kimin 25 yaşına girdiğini sanıyor?
25,T25A,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. Uzun zamandır iş arıyorum. Daha yeni iş teklif eden bir şirket de teklifini geri çekti ama NAMENull bunu bilmiyor. İşe girmemi kutlamak için bana sürpriz hazırlamış.",speaker,speaker,NAMENull işe alındım sanıyor.,finite,NAMENull kimin işe alındığını sanıyor?
25,T25B,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAME-dat işe başvurduğu şirketten onu ofislerine davet eden bir mektup gelmiş. NAMENull şirketlerin ofis mülakatı için böyle davetler gönderdiğini bilmiyor.",shifted,shifted,NAMENull işe alındım sanıyor.,finite,NAMENull kimin işe alındığını sanıyor?
25,T25C,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. Uzun zamandır iş arıyorum. Daha yeni iş teklif eden bir şirket de teklifini geri çekti ama NAMENull bunu bilmiyor. İşe girmemi kutlamak için bana sürpriz hazırlamış.",speaker,speaker,NAMENull işe alındığımı sanıyor.,nominalized,NAMENull kimin işe alındığını sanıyor?
25,T25D,san,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAME-dat işe başvurduğu şirketten onu ofislerine davet eden bir mektup gelmiş. NAMENull şirketlerin ofis mülakatı için böyle davetler gönderdiğini bilmiyor.",speaker,shifted,NAMENull işe alındığımı sanıyor.,nominalized,NAMENull kimin işe alındığını sanıyor?
26,T26A,san,"Merhaba, ben SPEAKER. NAMENull diye bir arkadaşım var. NAMENull söylediklerini havaalanındaki turistler için Almanca'ya çevirmemi istedi.",speaker,speaker,NAMENull Almanca biliyorum sanıyor.,finite,NAMENull kimin Almanca bildiğini sanıyor?
26,T26B,san,"Merhaba, ben SPEAKER. NAMENull diye bir arkadaşım var. On tane Almanca kelime öğrenmiş.",shifted,shifted,NAMENull Almanca biliyorum sanıyor.,finite,NAMENull kimin Almanca bildiğini sanıyor?
26,T26C,san,"Merhaba, ben SPEAKER. NAMENull diye bir arkadaşım var. NAMENull söylediklerini havaalanındaki turistler için Almanca'ya çevirmemi istedi.",speaker,speaker,NAMENull Almanca bildiğimi sanıyor.,nominalized,NAMENull kimin Almanca bildiğini sanıyor?
26,T26D,san,"Merhaba, ben SPEAKER. NAMENull diye bir arkadaşım var. On tane Almanca kelime öğrenmiş.",speaker,shifted,NAMENull Almanca bildiğimi sanıyor.,nominalized,NAMENull kimin Almanca bildiğini sanıyor?
27,T27A,düşün,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. Okul başkanı olmak için seçimlere katıldım. NAMENull bana seçim sonuçlarını sordu. Aslında seçimi kaybetmemiş olmama rağmen ona yalan atarak seçimi kazandığımı söyledim.",speaker,speaker,NAMENull seçimi kazandım diye düşünüyor.,finite,NAMENull seçimi kimin kazandığını düşünüyor?
27,T27B,düşün,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull okul başkanı olmak için seçimlere katıldı ve seçimi kaybetti. Ona şaka yapmak için seçimi kazandığını söyledim ve bana inandı.",shifted,shifted,NAMENull seçimi kazandım diye düşünüyor.,finite,NAMENull seçimi kimin kazandığını düşünüyor?
27,T27C,düşün,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. Okul başkanı olmak için seçimlere katıldım. NAMENull bana seçim sonuçlarını sordu. Aslında seçimi kaybetmemiş olmama rağmen ona yalan atarak seçimi kazandığımı söyledim.",speaker,speaker,NAMENull seçimi kazandığımı düşünüyor.,nominalized,NAMENull seçimi kimin kazandığını düşünüyor?
27,T27D,düşün,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull okul başkanı olmak için seçimlere katıldı ve seçimi kaybetti. Ona şaka yapmak için seçimi kazandığını söyledim ve bana inandı.",speaker,shifted,NAMENull seçimi kazandığımı düşünüyor.,nominalized,NAMENull seçimi kimin kazandığını düşünüyor?
28,T28A,düşün,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. Geçen sene NAMENull beni düğününe davet etti. Ona yalan attım aynı gün mezuniyet törenim olduğu için düğüne gidemeyeceğimi söyledim.",speaker,speaker,NAMENull mezun oldum diye düşünüyor.,finite,NAMENull kimin mezun olduğunu düşünüyor?
28,T28B,düşün,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull okuldaki son sınavına girdi ve o sınavdan sonra okuldan mezun olduğunu düşündü. Aslında mezun olabilmek için bitirme projesini de teslim etmesi gerekiyor.",shifted,shifted,NAMENull mezun oldum diye düşünüyor.,finite,NAMENull kimin mezun olduğunu düşünüyor?
28,T28C,düşün,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. Geçen sene NAMENull beni düğününe davet etti. Ona yalan attım aynı gün mezuniyet törenim olduğu için düğüne gidemeyeceğimi söyledim.",speaker,speaker,NAMENull mezun olduğumu düşünüyor.,nominalized,NAMENull kimin mezun olduğunu düşünüyor?
28,T28D,düşün,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull okuldaki son sınavına girdi ve o sınavdan sonra okuldan mezun olduğunu düşündü. Aslında mezun olabilmek için bitirme projesini de teslim etmesi gerekiyor.",speaker,shifted,NAMENull mezun olduğumu düşünüyor.,nominalized,NAMENull kimin mezun olduğunu düşünüyor?
29,T29A,düşün,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. Hafta sonları garsonluk yaptığım için bir miktar para biriktirebildim. NAMENull benden borç para istedi. Ona para vermemek için işten kovulduğumu söyledim.",speaker,speaker,NAMENull işten kovuldum diye düşünüyor.,finite,NAMENull kimin işten kovulduğunu düşünüyor?
29,T29B,düşün,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull hafta sonları garsonluk yapıyor. Patronu ona şaka yapmak için NAME-acc işten kovduğunu söyledi. Aslında onu başgarsonluğa terfi ettirmişti.",shifted,shifted,NAMENull işten kovuldum diye düşünüyor.,finite,NAMENull kimin işten kovulduğunu düşünüyor?
29,T29C,düşün,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. Hafta sonları garsonluk yaptığım için bir miktar para biriktirebildim. NAMENull benden borç para istedi. Ona para vermemek için işten kovulduğumu söyledim.",speaker,speaker,NAMENull işten kovulduğumu düşünüyor.,nominalized,NAMENull kimin işten kovulduğunu düşünüyor?
29,T29D,düşün,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull hafta sonları garsonluk yapıyor. Patronu ona şaka yapmak için NAME-acc işten kovduğunu söyledi. Aslında onu başgarsonluğa terfi ettirmişti.",speaker,shifted,NAMENull işten kovulduğumu düşünüyor.,nominalized,NAMENull kimin işten kovulduğunu düşünüyor?
30,T30A,düşün,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. Hafta sonları garsonluk yapıyorum ve bu yüzden birikmiş bir miktar param var. NAMENull benden borç para istedi. Ona para vermemek için işten istifa ettiğimi, o yüzden param olmadığını söyledim.",speaker,speaker,NAMENull istifa ettim diye düşünüyor.,finite,NAMENull kimin istifa ettiğini düşünüyor?
30,T30B,düşün,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull işinden hiç memnun değil. Bu yüzden bir istifa mektubu yazıp iş yerine postalamak istedi, ancak yanlış adrese mektubu yanlış adrese gönderdi. İstifa mektubu iş yerine ulaşmadığı için NAME-gen istifası gerçekleşmedi, ama NAMENull bunun farkında değil.",shifted,shifted,NAMENull istifa ettim diye düşünüyor.,finite,NAMENull kimin istifa ettiğini düşünüyor?
30,T30C,düşün,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. Hafta sonları garsonluk yapıyorum ve bu yüzden birikmiş bir miktar param var. NAMENull benden borç para istedi. Ona para vermemek için işten istifa ettiğimi, o yüzden param olmadığını söyledim.",speaker,speaker,NAMENull istifa ettiğimi düşünüyor.,nominalized,NAMENull kimin istifa ettiğini düşünüyor?
30,T30D,düşün,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull işinden hiç memnun değil. Bu yüzden bir istifa mektubu yazıp iş yerine postalamak istedi, ancak yanlış adrese mektubu yanlış adrese gönderdi. İstifa mektubu iş yerine ulaşmadığı için NAME-gen istifası gerçekleşmedi, ama NAMENull bunun farkında değil.",speaker,shifted,NAMENull istifa ettiğimi düşünüyor.,nominalized,NAMENull kimin istifa ettiğini düşünüyor?
31,T31A,düşün,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. Çok iyi bir üniversitede yüksek lisans programına başvuru yaptım, ve NAMENull bana o programa kabul alamayacağımı söyledi. Aradan bir süre geçtikten sonra NAME-dat yalan atarak o programa kabul edildiğimi söyledim.",speaker,speaker,NAMENull kabul aldım diye düşünüyor.,finite,NAMENull kimin kabul aldığını düşünüyor?
31,T31B,düşün,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull çok iyi bir üniversitede yüksek lisans programına başvuru yaptı ama oradan kabul alabileceğini düşünmüyordu. Aradan bir süre geçtikten sonra NAME-dat şaka yapmak için o programa kabul edildiğini söyledim. Bu haberi duyunca NAMENull çok sevindi.",shifted,shifted,NAMENull kabul aldım diye düşünüyor.,finite,NAMENull kimin kabul aldığını düşünüyor?
31,T31C,düşün,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. Çok iyi bir üniversitede yüksek lisans programına başvuru yaptım, ve NAMENull bana o programa kabul alamayacağımı söyledi. Aradan bir süre geçtikten sonra NAME-dat yalan atarak o programa kabul edildiğimi söyledim.",speaker,speaker,NAMENull kabul aldığımı düşünüyor.,nominalized,NAMENull kimin kabul aldığını düşünüyor?
31,T31D,düşün,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull çok iyi bir üniversitede yüksek lisans programına başvuru yaptı ama oradan kabul alabileceğini düşünmüyordu. Aradan bir süre geçtikten sonra NAME-dat şaka yapmak için o programa kabul edildiğini söyledim. Bu haberi duyunca NAMENull çok sevindi.",speaker,shifted,NAMENull kabul aldığımı düşünüyor.,nominalized,NAMENull kimin kabul aldığını düşünüyor?
32,T32A,düşün,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull benim içki içmemi istemiyor. Onunla otururken kokteyl içiyor olmama rağmen üzülmemesi için ona meyve suyu içtiğimi söyledim.",speaker,speaker,NAMENull meyve suyu içtim diye düşünüyor.,finite,NAMENull kimin meyve suyu içtiğini düşünüyor?
32,T32B,düşün,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull hayatında hiç içki içmemiş, ve denemek de istemiyor. Geçen gün ona kokteyl içirdim ama yalan atarak içtiği şeyin meyve suyu olduğunu söyledim.",shifted,shifted,NAMENull meyve suyu içtim diye düşünüyor.,finite,NAMENull kimin meyve suyu içtiğini düşünüyor?
32,T32C,düşün,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull benim içki içmemi istemiyor. Onunla otururken kokteyl içiyor olmama rağmen üzülmemesi için ona meyve suyu içtiğimi söyledim.",speaker,speaker,NAMENull meyve suyu içtiğimi düşünüyor.,nominalized,NAMENull kimin meyve suyu içtiğini düşünüyor?
32,T32D,düşün,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull hayatında hiç içki içmemiş, ve denemek de istemiyor. Geçen gün ona kokteyl içirdim ama yalan atarak içtiği şeyin meyve suyu olduğunu söyledim.",speaker,shifted,NAMENull meyve suyu içtiğimi düşünüyor.,nominalized,NAMENull kimin meyve suyu içtiğini düşünüyor?
33,T33A,düşün,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. Geçen gün yolda eski bir harita buldum. NAMENull bana onun ne haritası olduğunu sorunca ona yalan atarak bir hazine haritası bulduğumu söyledim.",speaker,speaker,NAMENull hazine buldum diye düşünüyor.,finite,NAMENull kimin hazine bulduğunu düşünüyor?
33,T33B,düşün,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull geçen gün yolda eski bir harita buldu ama ne haritası olduğunu anlayamadı. Onannyalan atarak bulduğu şeyin bir hazine haritası bulduğumu söyledim.",shifted,shifted,NAMENull hazine buldum diye düşünüyor.,finite,NAMENull kimin hazine bulduğunu düşünüyor?
33,T33C,düşün,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. Geçen gün yolda eski bir harita buldum. NAMENull bana onun ne haritası olduğunu sorunca ona yalan atarak bir hazine haritası bulduğumu söyledim.",speaker,speaker,NAMENull hazine bulduğumu düşünüyor.,nominalized,NAMENull kimin hazine bulduğunu düşünüyor?
33,T33D,düşün,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull geçen gün yolda eski bir harita buldu ama ne haritası olduğunu anlayamadı. Onannyalan atarak bulduğu şeyin bir hazine haritası bulduğumu söyledim.",speaker,shifted,NAMENull hazine bulduğumu düşünüyor.,nominalized,NAMENull kimin hazine bulduğunu düşünüyor?
34,T34A,düşün,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull ile bir satranç turnuvasına katıldık ve ben finale kaldım. NAME-dat şaka yaparak diğer finalistin turnuvadan çekildiğini söyledim. NAMENull benim şampiyon olduğumu düşünerek beni tebrik etti.",speaker,speaker,NAMENull şampiyon oldum diye düşünüyor.,finite,NAMENull kimin şampiyon olduğunu düşünüyor?
34,T34B,düşün,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull ile bir satranç turnuvasına katıldık ve NAMENull finale kaldı. NAME-dat şaka yaparak diğer finalistin turnuvadan çekildiğini söyledim. NAMENull şampiyon olduğunu düşünerek sevindi.",shifted,shifted,NAMENull şampiyon oldum diye düşünüyor.,finite,NAMENull kimin şampiyon olduğunu düşünüyor?
34,T34C,düşün,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull ile bir satranç turnuvasına katıldık ve ben finale kaldım. NAME-dat şaka yaparak diğer finalistin turnuvadan çekildiğini söyledim. NAMENull benim şampiyon olduğumu düşünerek beni tebrik etti.",speaker,speaker,NAMENull şampiyon olduğumu düşünüyor.,nominalized,NAMENull kimin şampiyon olduğunu düşünüyor?
34,T34D,düşün,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull ile bir satranç turnuvasına katıldık ve NAMENull finale kaldı. NAME-dat şaka yaparak diğer finalistin turnuvadan çekildiğini söyledim. NAMENull şampiyon olduğunu düşünerek sevindi.",speaker,shifted,NAMENull şampiyon olduğumu düşünüyor.,nominalized,NAMENull kimin şampiyon olduğunu düşünüyor?
35,T35A,düşün,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull ile halısahada maç yapmaya gittik. Maç sırasında ben bir şut çektim ve top kalenin hemen yanından dışarı çıktı, ama NAMENull topun dışarı çıktığını farketmedi ve gol oldu sanıp sevindi. Kimse ona topun aslında dışarı çıktığını söylemedi.",speaker,speaker,NAMENull gol attım diye düşünüyor.,finite,NAMENull kimin gol attığını düşünüyor?
35,T35B,düşün,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull ile halısahada maç yapmaya gittik. Maç sırasında NAMENull bir şut çekti ve top kalenin hemen yanından dışarı çıktı, ama NAMENull topun dışarı çıktığını farketmedi ve gol oldu sandı. Kimse ona topun aslında dışarı çıktığını söylemedi.",shifted,shifted,NAMENull gol attım diye düşünüyor.,finite,NAMENull kimin gol attığını düşünüyor?
35,T35C,düşün,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull ile halısahada maç yapmaya gittik. Maç sırasında ben bir şut çektim ve top kalenin hemen yanından dışarı çıktı, ama NAMENull topun dışarı çıktığını farketmedi ve gol oldu sanıp sevindi. Kimse ona topun aslında dışarı çıktığını söylemedi.",speaker,speaker,NAMENull gol attığımı düşünüyor.,nominalized,NAMENull kimin gol attığını düşünüyor?
35,T35D,düşün,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull ile halısahada maç yapmaya gittik. Maç sırasında NAMENull bir şut çekti ve top kalenin hemen yanından dışarı çıktı, ama NAMENull topun dışarı çıktığını farketmedi ve gol oldu sandı. Kimse ona topun aslında dışarı çıktığını söylemedi.",speaker,shifted,NAMENull gol attığımı düşünüyor.,nominalized,NAMENull kimin gol attığını düşünüyor?
36,T36A,düşün,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull beni haftasonu piknik yapmaya davet etti. Ona yalan atarak haftasonu İtalya'da olacağımı söyledim.",speaker,speaker,NAMENull İtalya'ya gideceğim diye düşünüyor.,finite,NAMENull kimin İtalya'ya gideceğini düşünüyor?
36,T36B,düşün,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. Dolandırıcılar NAME-acc kandırarak ona İtalya'ya sahte uçak bileti sattılar. NAMENull dolandırıldığının farkında değil ve İtalya biletinin gerçek olduğunu düşünüyor.",shifted,shifted,NAMENull İtalya'ya gideceğim diye düşünüyor.,finite,NAMENull kimin İtalya'ya gideceğini düşünüyor?
36,T36C,düşün,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull beni haftasonu piknik yapmaya davet etti. Ona yalan atarak haftasonu İtalya'da olacağımı söyledim.",speaker,speaker,NAMENull İtalya'ya gideceğimi düşünüyor.,nominalized,NAMENull kimin İtalya'ya gideceğini düşünüyor?
36,T36D,düşün,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. Dolandırıcılar NAME-acc kandırarak ona İtalya'ya sahte uçak bileti sattılar. NAMENull dolandırıldığının farkında değil ve İtalya biletinin gerçek olduğunu düşünüyor.",speaker,shifted,NAMENull İtalya'ya gideceğimi düşünüyor.,nominalized,NAMENull kimin İtalya'ya gideceğini düşünüyor?
37,T37A,düşün,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull beni şehir dışına tatil yapmaya çağırdı. Gitmemek için yalan attım ve ona bu haftasonu mahkemeye çıkacağımı söyledim.",speaker,speaker,NAMENull mahkemeye çıkacağım diye düşünüyor.,finite,NAMENull kimin mahkemeye çıkacağını düşünüyor?
37,T37B,düşün,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull hayatında ilk kez trafik cezası yedi ve çok üzüldü. Onu kandırdım ve ceza yediği için mahmemeye çıkacağını söyledim. Bunu duyunca NAMENull daha da üzüldü ve korkmaya başladı.",shifted,shifted,NAMENull mahkemeye çıkacağım diye düşünüyor.,finite,NAMENull kimin mahkemeye çıkacağını düşünüyor?
37,T37C,düşün,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull beni şehir dışına tatil yapmaya çağırdı. Gitmemek için yalan attım ve ona bu haftasonu mahkemeye çıkacağımı söyledim.",speaker,speaker,NAMENull mahkemeye çıkacağımı düşünüyor.,nominalized,NAMENull kimin mahkemeye çıkacağını düşünüyor?
